Název mapy,Odkaz na StareMapy.cz
Generalkarte v[on] Mitteleuropa Balkan,http://staremapy.georeferencer.cz/map/2ksmSanwJbP1iAsrW4t29T/201511051702-6LyMIF/georeference,Univerzita Karlova v Praze
Süd-Norwegen,http://staremapy.georeferencer.cz/map/rbD9XsFxZmJart25X8JhGc/201511051616-sZFXjM/georeference,Univerzita Karlova v Praze
Piešťany,http://staremapy.georeferencer.cz/map/2kz99bWOqMfFF9WreicuPB/201511051702-hx12Lf/georeference,Univerzita Karlova v Praze
Plan von Prag mit Umgebung,http://staremapy.georeferencer.cz/map/QIkE2RuQyg0pca8j0AX6IY/201511051516-VsgzpZ/georeference,Univerzita Karlova v Praze
35°45° Banjaluka,http://staremapy.georeferencer.cz/map/eZeSjFqwUd1HH4H976o514/201511051706-Z4S2UR/georeference,Univerzita Karlova v Praze
38°48° Rimavská Sobota,http://staremapy.georeferencer.cz/map/A4jP6bYcWJdHIJ3xm7vMpH/201511051615-J2sRCy/georeference,Univerzita Karlova v Praze
Deir Abu Sa'id,http://staremapy.georeferencer.cz/map/FRn1r3nthAFUl7YYkEqwU1/201511051734-x9T9Gm/georeference,Univerzita Karlova v Praze
New York,http://staremapy.georeferencer.cz/map/Rl7wDUFIWxXHhNzfCIUst3/201601081331-Jk9Ql0/georeference,Univerzita Karlova v Praze
Sinovirské ozero,http://staremapy.georeferencer.cz/map/pcwNvcfevTWcQJYG5a1LrT/201511051601-5mqbYU/georeference,Univerzita Karlova v Praze
[Mapový list],http://staremapy.georeferencer.cz/map/P2zPnPU6BRbhsX055arI4J/201511051612-nH6AKz/georeference,Univerzita Karlova v Praze
Przemyśl,http://staremapy.georeferencer.cz/map/3DE6NKbQdfvlGJTmJgmEcv/201511051612-niaWnQ/georeference,Univerzita Karlova v Praze
Qadmous,http://staremapy.georeferencer.cz/map/Cjg0ePTWa4z2j0Pi52TrSw/201511051733-76x7C0/georeference,Univerzita Karlova v Praze
Rusko-japonska vojna,http://staremapy.georeferencer.cz/map/1sIxsjY8guC4upqXLzS2pU/201511051619-7UTxHd/georeference,Univerzita Karlova v Praze
Jižní Amerika,http://staremapy.georeferencer.cz/map/Yr7XeoxbNBh6IX846HCPD8/201511051608-aXmUhj/georeference,Univerzita Karlova v Praze
Ostasien,http://staremapy.georeferencer.cz/map/DV83wq84RGuAL6ixdNtRWe/201408191412-M2nYMQ/georeference,Univerzita Karlova v Praze
Tektonisches Übersichts-Kärtschen des Karwendels,http://staremapy.georeferencer.cz/map/ALiMygeOWzoWDQqcMv4NGV/201511051640-vvWzF7/georeference,Univerzita Karlova v Praze
Plan von Sewastopol und seinen Befestigungen,http://staremapy.georeferencer.cz/map/TAXSrueRvwiUXH96qs38Gv/201511051619-FN9T9V/georeference,Univerzita Karlova v Praze
Najnowszy plan król. stoł. miasta Krakowa,http://staremapy.georeferencer.cz/map/vck77cQ3Jvio1jGMsV7so6/201511051620-EsgcX0/georeference,Univerzita Karlova v Praze
Karlovy Vary,http://staremapy.georeferencer.cz/map/4JQeO1MgtYjn1OwoJ6R8Bo/201511051642-inrl6G/georeference,Univerzita Karlova v Praze
"Mittelbach's neueste Hand- und Verkehrskarte von Österreich-Ungarn mit Rumäinen, Bulgarien, Serbien und Montenegro",http://staremapy.georeferencer.cz/map/UBv5JtvaQIJPS38G4nU0bM/201511051703-4F2rbW/georeference,Univerzita Karlova v Praze
"Přehledná mapa povodí Labe, Dunaje a Odry v Čechách, na Moravě a ve Slezsku",http://staremapy.georeferencer.cz/map/69MwgE94KOdlqtzv6erRik/201511051744-jI4UAY/georeference,Univerzita Karlova v Praze
"Delineatio Geographica TERRITORII celsissimorum S. R. I. COMITUM RUTHENORUM de PLAUEN utriusque Lineae Senioris nempe ac Iunioris, partem VOGTLANDIAE olim ac hodie sic dictae constituensis",http://staremapy.georeferencer.cz/map/7CcwfuGh0DkFUfxtojbUSw/201601081338-VL2He2/georeference,Univerzita Karlova v Praze
Preussische Provinz Schlessien,http://staremapy.georeferencer.cz/map/4B1cpyvRvurwfa7XlySDye/201408181853-cMyECH/georeference,Univerzita Karlova v Praze
Golphe de Grimaut,http://staremapy.georeferencer.cz/map/8mWLgjgyMf9M7CYy77eoKE/201408181848-E07n3s/georeference,Univerzita Karlova v Praze
Special-Karte der Eisenbahn- Post- u. Dampschiff-Verbindungen Mittel-Europa's,http://staremapy.georeferencer.cz/map/DUnpl2VEXIJovs6Hfvewix/201511051620-ruzXL8/georeference,Univerzita Karlova v Praze
Bratislava,http://staremapy.georeferencer.cz/map/00ifwISxAfbS9nOa7Qypyn/201601081340-kzRlu0/georeference,Univerzita Karlova v Praze
Plán královského města Plzně,http://staremapy.georeferencer.cz/map/75xgEFBwHWJXdviXdbYNnV/201303041529-WDI39d/georeference,Univerzita Karlova v Praze
Papín,http://staremapy.georeferencer.cz/map/Qh0UuYPmL55Hds3lvFzuwg/201408191333-bg9BAv/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/Bzq2mLV3iTttZxDBGpWY6c/201511051730-hF8eKb/georeference,Univerzita Karlova v Praze
33°50° Kolín,http://staremapy.georeferencer.cz/map/KYC0SM2uVrjIFJGZZMc1iQ/201511051612-QXTEix/georeference,Univerzita Karlova v Praze
Ostsee,http://staremapy.georeferencer.cz/map/hQ55HSxbge9bLwD3uNmdjT/201511051619-w1R3Lx/georeference,Univerzita Karlova v Praze
CARTE VON SICILIEN,http://staremapy.georeferencer.cz/map/AoaIyY0Nrq5YFLxySWKN0x/201511051616-1TNyqf/georeference,Univerzita Karlova v Praze
Estado do Rio Grande do Norte,http://staremapy.georeferencer.cz/map/aSbcloS5CsRIyJp9qwIWtg/201511051743-podRAs/georeference,Univerzita Karlova v Praze
Reichenau und Tyništ,http://staremapy.georeferencer.cz/map/rbdaXB0kuDIzjw6BqELo5N/201408191423-d2kpAP/georeference,Univerzita Karlova v Praze
Pianta di Firenze e suoi contorni,http://staremapy.georeferencer.cz/map/0ezpDRk7j5BrLVFC8nPTN0/201511051741-0u8TRG/georeference,Univerzita Karlova v Praze
Eschershausen,http://staremapy.georeferencer.cz/map/GiCcMDrzGBjEA08duGrM7k/201511051712-WZce9w/georeference,Univerzita Karlova v Praze
Reichenau a. d. Knieschna,http://staremapy.georeferencer.cz/map/s3C76R1BeT8ekdCccwt5s6/201511051641-qSwWfh/georeference,Univerzita Karlova v Praze
Das russische Kriegsgebiet zwischen Ostsee und Schwarzen Meer,http://staremapy.georeferencer.cz/map/kXHeUQP1oe3145wguEJlJz/201511051603-3zTGtd/georeference,Univerzita Karlova v Praze
Florenz,http://staremapy.georeferencer.cz/map/px1hZJ5rdx45awbgwjPSKd/201511051618-JnaCtC/georeference,Univerzita Karlova v Praze
Königreich Slavonien,http://staremapy.georeferencer.cz/map/3O9tFP439jwUVzTzOt0xgC/201408182135-sYSyYJ/georeference,Univerzita Karlova v Praze
Přehledná hydrografická mapa povodí Dunaje a Visly na Slovensku,http://staremapy.georeferencer.cz/map/vTd2KDS1vSkpiDuby5IyTD/201511051545-WKDtEX/georeference,Univerzita Karlova v Praze
Villach und Klagenfurt,http://staremapy.georeferencer.cz/map/KTrWTH1KPDmc9IVDcA4JdS/201511051724-QOxYVN/georeference,Univerzita Karlova v Praze
G. Freytag & Berndt Touristen-Wanderkarte,http://staremapy.georeferencer.cz/map/jjUtQWDKL82tXWqPpdTm6E/201511051641-3QV9Yq/georeference,Univerzita Karlova v Praze
Grünberg West,http://staremapy.georeferencer.cz/map/N5IhKuxFzWfokYGzilz8Dw/201511051712-hlUYsp/georeference,Univerzita Karlova v Praze
Böhm[isch] Trübau,http://staremapy.georeferencer.cz/map/nCCxSSFXan5YsosTSwP254/201511051704-gI4B49/georeference,Univerzita Karlova v Praze
Uibersichts-Karte der österreichischen Rübenzucker-Fabriken,http://staremapy.georeferencer.cz/map/b2wsvmFbxUUav5yKFUe0WB/201408191209-hHgOnw/georeference,Univerzita Karlova v Praze
Provincie del contado di Molise e principato vltra,http://staremapy.georeferencer.cz/map/mIIC3OKMP5PNrdaVbyYMiK/201408191327-piZpmY/georeference,Univerzita Karlova v Praze
"Egypt 1:100,000",http://staremapy.georeferencer.cz/map/QXw6WvKy9Megk2yPPnl6uk/201511051743-4X3XTt/georeference,Univerzita Karlova v Praze
Vysoké Tatry,http://staremapy.georeferencer.cz/map/bBbGe8AB82kOwRxXzX5m3x/201511051644-Fp17ju/georeference,Univerzita Karlova v Praze
"Graecia nova et mare Aegeum s. Archipelagus, in qua mappa Macedonia, Albania, Epirus, Thessalia et Morea cum circumjacentibus insulis Corcyra, Cephalonia, Zacynthos, Stalimene, Metelino, Chios, distinctae exhibentur",http://staremapy.georeferencer.cz/map/L3MwRNb43ZeNiXELythMZw/201408181850-8isERY/georeference,Univerzita Karlova v Praze
Ducatus Bremae et Ferdae nova tabula,http://staremapy.georeferencer.cz/map/02dNxx0CBZEMiaj3rAVL1w/201408181853-GTfJP6/georeference,Univerzita Karlova v Praze
Cismon,http://staremapy.georeferencer.cz/map/lPBqoxBd9IBw2Ev2O3vEyX/201408191429-I79Rj2/georeference,Univerzita Karlova v Praze
Hořitz und Jičin,http://staremapy.georeferencer.cz/map/dxji22MYwqh7xIpkfyg2nl/201408191422-sPvIdU/georeference,Univerzita Karlova v Praze
"SAXONIAE ELECTORALIS, FINITIMARUMQUE PROVINCIARUM NOVA et ANTEA NUNQUAM EDITA DELINEATIO",http://staremapy.georeferencer.cz/map/MTlrWdF3ZEqcy5ljIB9jGW/201601081339-SqZdFW/georeference,Univerzita Karlova v Praze
Boleslawiec,http://staremapy.georeferencer.cz/map/aRkeXXoJsQbz8TI2QV22yL/201408191541-BKa6Qf/georeference,Univerzita Karlova v Praze
Karte von Central-America,http://staremapy.georeferencer.cz/map/DhbLM76Nk7L31PLes17xAY/201511051603-M6qbib/georeference,Univerzita Karlova v Praze
[Austriae inferior.],http://staremapy.georeferencer.cz/map/BE4jga9rzCXxyxBsFIEMKY/201408181826-k9QslJ/georeference,Univerzita Karlova v Praze
"Turecko evropské, Srbsko, Multany a Valachie, Černá Hora a pohraničné [sic] země rakouské",http://staremapy.georeferencer.cz/map/NVP554DfWnwaWbkEhHilms/201511051640-bSE33U/georeference,Univerzita Karlova v Praze
Plan von Franzensbad,http://staremapy.georeferencer.cz/map/Klq9nm1fIerEJnGvUZ5AQo/201511051721-L1l3A0/georeference,Univerzita Karlova v Praze
Königsaal und Beneschau,http://staremapy.georeferencer.cz/map/gHC5y8HoAcN4ZUa0UQ17of/201408191423-Vt3PwJ/georeference,Univerzita Karlova v Praze
Nova orbis tabula,http://staremapy.georeferencer.cz/map/of62HRBHAB3dECzGQo2gHc/201511051615-YHvslP/georeference,Univerzita Karlova v Praze
"Makedonien, Altserbien und Albanien",http://staremapy.georeferencer.cz/map/tRaU6yvqOFyEz6L84mHJYI/201511051542-HwXpZY/georeference,Univerzita Karlova v Praze
General-Karte der europäischen Türkey und des Königreichs Griechenland,http://staremapy.georeferencer.cz/map/CFyRO0WXtuuZcg9gEUlUO9/201511051542-k87Oe3/georeference,Univerzita Karlova v Praze
"Totius Rheni, ab eius capitibus ad oceanum usque Germanicum in quem se exonerat novißima descriptio",http://staremapy.georeferencer.cz/map/9pY0l06JTdPULAniyMdmDr/201408182026-ob6HId/georeference,Univerzita Karlova v Praze
Liptó Szt. Miklós,http://staremapy.georeferencer.cz/map/kmN9W20NoeRqmSS0vETwR3/201511051644-2SZcFH/georeference,Univerzita Karlova v Praze
Copia ab antiquissima Mappa regni Bohemiae,http://staremapy.georeferencer.cz/map/1tgYBi4JDo118QIUk4PQQa/201408182108-9FcjQr/georeference,Univerzita Karlova v Praze
Wegweiser fur die näheren und entfernteren Unterhaltungs-Punkte von Ischl,http://staremapy.georeferencer.cz/map/g0buJelCvbiCWqCOUm5ygT/201511051615-m8P6MA/georeference,Univerzita Karlova v Praze
Automapa,http://staremapy.georeferencer.cz/map/xZHiP2seWJnKVIGooQpypt/201511051556-9paGKj/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/GAEIXUrDd6LvAwblyb2AGt/201511051617-2JheRI/georeference,Univerzita Karlova v Praze
Europe 1:1 000 000,http://staremapy.georeferencer.cz/map/5lSNOVJoa5sjLnyCi3sZec/201511051609-FnUaSj/georeference,Univerzita Karlova v Praze
Zu Bildner des Heeres Beilage 13,http://staremapy.georeferencer.cz/map/4jRVkEc8ZVIj7DGosIe7yO/201408191305-JGkr2P/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/IOTd8WNNo1cMoRkEWeRor3/201511051618-znwADV/georeference,Univerzita Karlova v Praze
36°45° Brod,http://staremapy.georeferencer.cz/map/ETF2F9YdqXNZjAPAxdYGSZ/201511051706-b0nGYf/georeference,Univerzita Karlova v Praze
Atlantischer Ozean,http://staremapy.georeferencer.cz/map/zxe5qVPkg500CjDpZizHeS/201511051619-zdVduJ/georeference,Univerzita Karlova v Praze
Der Semmering und seine Umgebung,http://staremapy.georeferencer.cz/map/dbsZHd7cpXYQYbj9Z6bEFO/201511051621-IXWYYg/georeference,Univerzita Karlova v Praze
Exerzier-Manoeuvre der Cavalerie-Division den Herrn F.M.L. von Goržkowski,http://staremapy.georeferencer.cz/map/vhwRNCyU25YuOWqiZL5hu6/201408182022-Y4X0o7/georeference,Univerzita Karlova v Praze
Gaming und Mariazell,http://staremapy.georeferencer.cz/map/e320BouH4uu8xkQ8j4G6WC/201511051707-zNzwt8/georeference,Univerzita Karlova v Praze
Haut et bas Dauphiné,http://staremapy.georeferencer.cz/map/Zb25JC16vQD2o3iCGaLPbW/201408181840-dLwDyU/georeference,Univerzita Karlova v Praze
Celeberrimi flvvii Albis nova delineatio,http://staremapy.georeferencer.cz/map/6l1NtzvlgwXgDMMSec9oEb/201601081337-B71MZv/georeference,Univerzita Karlova v Praze
Senftenberg,http://staremapy.georeferencer.cz/map/q8Pt24qtIMr6WvMVXdk1UY/201408191423-DZMNVW/georeference,Univerzita Karlova v Praze
"Circulus Sueviae continens ducatum Wirtenbergensem aliosq. status et provincias eidem, circulo insertas",http://staremapy.georeferencer.cz/map/lrkWfeCaD7FgZSePxUpL8k/201408181828-vDrjW0/georeference,Univerzita Karlova v Praze
"Charte von dem Fürstenthum Hohenlohe, und der Grafschafft Limpurg",http://staremapy.georeferencer.cz/map/QYkhNW0CNVHySfwtDyJyAZ/201408181842-gtINHP/georeference,Univerzita Karlova v Praze
Lamspringe,http://staremapy.georeferencer.cz/map/g9M41XQsHSl0Ek0yjbDZKJ/201511051712-ju0KhZ/georeference,Univerzita Karlova v Praze
Geschäfts- und Reise-Karte von Deutschland und den angrenzenden Ländern,http://staremapy.georeferencer.cz/map/I38iY6eeh8Z6gvAkKSEEFD/201408182059-HWmHpf/georeference,Univerzita Karlova v Praze
Special-Karte des Budweiser Kreis - resp. politischen Verwaltungs Bezirkes in Böhmen,http://staremapy.georeferencer.cz/map/KZ6CyWSWFjcKKpZdNnetT7/201408191359-aTvM6o/georeference,Univerzita Karlova v Praze
Vollständiger Situationsplan der Wiener Weltausstellung 1873,http://staremapy.georeferencer.cz/map/5tU2tPFANBqqUfsvyaLKFx/201303041529-TVgtzt/georeference,Univerzita Karlova v Praze
33°44° Zara,http://staremapy.georeferencer.cz/map/f7X4FIjtYYJh4JUKlvf9o3/201511051616-ntYdY6/georeference,Univerzita Karlova v Praze
Kobenhavn og Frederiksberg 1914,http://staremapy.georeferencer.cz/map/5j7FkmCg5lw2mLd7pnhCFU/201511051610-mXIOmD/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/ttfodbGD4q56owHB4Ji0MG/201408191307-JGcm6V/georeference,Univerzita Karlova v Praze
Reise Karte von Deutschland,http://staremapy.georeferencer.cz/map/SZfopLspvl9TpMLSTGIkkO/201408182026-2mwfHS/georeference,Univerzita Karlova v Praze
"BRISACI VETERIS prospectus, quod incomporabile est Fortalitium ad dextram Rheni superioris ripam in Brisgovia situm",http://staremapy.georeferencer.cz/map/6vEevxDaQnzSofmuvjxtEp/201408191332-Zeia0P/georeference,Univerzita Karlova v Praze
Generalstabens karta öfver Sverige,http://staremapy.georeferencer.cz/map/bnyeUbLs5cg0oaIwXvPreg/201511051608-dNZsYF/georeference,Univerzita Karlova v Praze
Zu Bildner des Heeres Beilage 20,http://staremapy.georeferencer.cz/map/NO8XBJQAKPtCIAsMAKRDhT/201408191309-jNeVyf/georeference,Univerzita Karlova v Praze
30°46° Belluno,http://staremapy.georeferencer.cz/map/sgyhQRnmamwksQ468gJeNy/201511051649-ufNimB/georeference,Univerzita Karlova v Praze
Probe Auszug aus dem ersten Blatte der Charte von Europa,http://staremapy.georeferencer.cz/map/6c4vw1gpe5G6EwCyHoC5o8/201408181823-6FJz1Q/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/UyWRnt8wK5Ep0zu5JrKNAZ/201511051726-jQ0fKI/georeference,Univerzita Karlova v Praze
Steiermark,http://staremapy.georeferencer.cz/map/pjNwIV2p833uPJPksBlWbX/201511051623-hs3Yfd/georeference,Univerzita Karlova v Praze
Die Westphaelische Kreis,http://staremapy.georeferencer.cz/map/fb7IpcuT9Yhfg8xxckRfwR/201408181843-7JT5ON/georeference,Univerzita Karlova v Praze
Posen,http://staremapy.georeferencer.cz/map/wZPcdtZhIlT2pCsTV84yLf/201601081333-xlBQLt/georeference,Univerzita Karlova v Praze
Charte vom Riesengebirge,http://staremapy.georeferencer.cz/map/Cx6xn0xy8Jk7Ty8sid7n3v/201408191209-dtzLeu/georeference,Univerzita Karlova v Praze
Charte vom Berauner Kreise des Königreichs Böheim,http://staremapy.georeferencer.cz/map/BPFAnSm4L1WjIO0jwrRYpB/201408182108-OpW9lZ/georeference,Univerzita Karlova v Praze
Special-Karte des Prager Kreis resp. politi. Karolinenthaler Verwaltungsbezirkes,http://staremapy.georeferencer.cz/map/W9IueVgUYhn36O8FA81IvA/201408191308-78Z5v2/georeference,Univerzita Karlova v Praze
Mapa itinerario militar de Espana,http://staremapy.georeferencer.cz/map/heVPSXPrV4Cy0diS5mDwfT/201511051544-tTutxA/georeference,Univerzita Karlova v Praze
Maine,http://staremapy.georeferencer.cz/map/frXdyBF9xWTa16buD4Ox5n/201601081331-6OdeUz/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/XCofs9JSL3G7CBxk4MZ90a/201511051733-bD682Q/georeference,Univerzita Karlova v Praze
Umgebungskarte von Innsbruck,http://staremapy.georeferencer.cz/map/35URSYlDcLTGDjHCgtKjCD/201408191433-EYPy96/georeference,Univerzita Karlova v Praze
Tschechoslowakei,http://staremapy.georeferencer.cz/map/c3sgUub99B3TaxzoFsrI4K/201511051553-2kmRbE/georeference,Univerzita Karlova v Praze
Karte der Mineralquellen und Kurorte von Österreich,http://staremapy.georeferencer.cz/map/ESqJnh7iKQ6euJtM3QTySx/201511051546-x9rDqD/georeference,Univerzita Karlova v Praze
Karte von Berlin und Umgebung in 12 Blättern,http://staremapy.georeferencer.cz/map/MpSzYGINuXgUlDHda8bG3G/201511051641-3X5VQZ/georeference,Univerzita Karlova v Praze
Post Charte vom Königreiche Böhmen,http://staremapy.georeferencer.cz/map/fbNng0dTs9DtmCIg0cnRUl/201408191221-oZBy3B/georeference,Univerzita Karlova v Praze
Imperium Romanorum post divisionem occidentale & orientale,http://staremapy.georeferencer.cz/map/mcjut41eMXdUJBhzPDBuKO/201408182111-dpblwh/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/2gdqmYagxjYQI1TAIJIjEh/201408191301-wlGrb5/georeference,Univerzita Karlova v Praze
Lohne,http://staremapy.georeferencer.cz/map/4v3exRWTEuoFUhc4MYrjmT/201511051712-rMdK8s/georeference,Univerzita Karlova v Praze
Nitra,http://staremapy.georeferencer.cz/map/X5Hbi7FNMRjRh0AG0TqCSQ/201408191333-KIImoe/georeference,Univerzita Karlova v Praze
43°46° Brassó,http://staremapy.georeferencer.cz/map/c7oKFyDx34eRfkG2VYRJvw/201511051650-Q5LXjG/georeference,Univerzita Karlova v Praze
Tabula DUCATUS CARNIOLIAE VINDORUM MARCHIAE et HISTRIAE,http://staremapy.georeferencer.cz/map/iUljvBG1WkvA6rRpRVt6s7/201604220922-R3Q0kg/georeference,Univerzita Karlova v Praze
Šonov,http://staremapy.georeferencer.cz/map/QA5wAcp9HOyXroazSNShsz/201511051642-esdrCI/georeference,Univerzita Karlova v Praze
Weitra und Zwettl,http://staremapy.georeferencer.cz/map/CJmTNJEsf0kXdrx6mEHkx0/201408191424-IoO4f1/georeference,Univerzita Karlova v Praze
[Stubaier Alpen],http://staremapy.georeferencer.cz/map/Zyc6wKqijus1u0wrN4gE5Q/201408191413-1kKauW/georeference,Univerzita Karlova v Praze
Karte von Montenegro,http://staremapy.georeferencer.cz/map/RXqmjBORg2O91qkW82KRVK/201511051610-p46CoC/georeference,Univerzita Karlova v Praze
32°51° Litoměřice,http://staremapy.georeferencer.cz/map/G1ACBfCdSmGIdMDhefcdM1/201511051612-hPRAR9/georeference,Univerzita Karlova v Praze
Piano topografico dell'isolario di Venezia,http://staremapy.georeferencer.cz/map/xhyaAv4nSK8Hu1BHHcxkV5/201408182022-UQFIXu/georeference,Univerzita Karlova v Praze
LE THEATRE DE LA GUERRE Dans les SEVENNES avec les Montagne et les Plaines des environs de LANGUEDOC,http://staremapy.georeferencer.cz/map/7iHxNMLfPQfB0NeJXo5aIu/201601081339-c74DfZ/georeference,Univerzita Karlova v Praze
Gross-Namaqua-Land und das Gebiet des Hauses F.A. Lüderitz,http://staremapy.georeferencer.cz/map/S57uo6mtDDZfUidlcL1Ivo/201408191535-uUFHRE/georeference,Univerzita Karlova v Praze
Specialkarte der böhmisch-sächsischen Schweiz,http://staremapy.georeferencer.cz/map/dHvyn0SZEt8B51uNqIx8Lv/201511051546-Tz1jFP/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/fbMVaKi46up1LBfxbun90s/201511051734-oYvrBg/georeference,Univerzita Karlova v Praze
Grünberg Ost,http://staremapy.georeferencer.cz/map/9WXL2XS3w0sYuBghlVQS91/201511051712-kRFdmP/georeference,Univerzita Karlova v Praze
Mapa specjalna okolic Lwowa,http://staremapy.georeferencer.cz/map/8C21HewL5mlgOKkCWb8KO8/201408191540-q6vZz5/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/OSWmVxIpyGCScGbPO99c8X/201511051727-dnDSbY/georeference,Univerzita Karlova v Praze
Stockenboi,http://staremapy.georeferencer.cz/map/DwfXHDmR2Pf1qDRAzeeRD6/201408191435-ULbpnH/georeference,Univerzita Karlova v Praze
Carte von America,http://staremapy.georeferencer.cz/map/azkmj8bc7vV2eGWiuR8p5h/201408181820-7cEMUg/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/phwH4ZDaXBslUeHiXFHHpx/201511051739-JQrOyH/georeference,Univerzita Karlova v Praze
[Gradkartenblatt],http://staremapy.georeferencer.cz/map/thzuevXwN1ZSCmW0InYSKh/201408191335-Le4Dvf/georeference,Univerzita Karlova v Praze
Kaschau,http://staremapy.georeferencer.cz/map/hcgvxBxaEkDysPqNiVcAO3/201511051639-eNP0lE/georeference,Univerzita Karlova v Praze
Západní Rusko a přilehlé části říše Německé a Rakousko-Uherska,http://staremapy.georeferencer.cz/map/kMcngO4CGxWbuB5ZPhCWA6/201408191407-TCbEGr/georeference,Univerzita Karlova v Praze
Přehled počasí,http://staremapy.georeferencer.cz/map/XmyFv2rQsCQzqoeZV5lKpv/201511051727-5vhCFu/georeference,Univerzita Karlova v Praze
L'Isle de Corse,http://staremapy.georeferencer.cz/map/Ylg5GVmYQsC6RRnt4LeZAU/201408182048-91SKqw/georeference,Univerzita Karlova v Praze
Australien,http://staremapy.georeferencer.cz/map/0L0Mk8CHsA0742A8JK8o5Q/201511051641-SEYrSR/georeference,Univerzita Karlova v Praze
Das Herzogthum Braunschweig,http://staremapy.georeferencer.cz/map/gfOCO26AOYKjVRQkeqne9Y/201511051617-qOgy33/georeference,Univerzita Karlova v Praze
Déva und Szászváros,http://staremapy.georeferencer.cz/map/ncL94SQAWcFD0B2KZfd84c/201511051748-NLuLj8/georeference,Univerzita Karlova v Praze
Charte vom Rakonitzer Kreise des Königreichs Böheim,http://staremapy.georeferencer.cz/map/VtrXiWdVjyUrv0YC7Gfnw2/201408191222-CUftNY/georeference,Univerzita Karlova v Praze
Gradkartenblatt,http://staremapy.georeferencer.cz/map/07AO1I6YZ6WbKcTsJC3epH/201408191302-qaMAEh/georeference,Univerzita Karlova v Praze
Vizovice a Beluša,http://staremapy.georeferencer.cz/map/U4QYKGOoYsyspWxcQsJU2m/201408191426-6ruxMr/georeference,Univerzita Karlova v Praze
L'America settentrionale,http://staremapy.georeferencer.cz/map/Yw4JgmRns2UxdgFcJg6EVt/201511051615-DU9Q27/georeference,Univerzita Karlova v Praze
Übersichtskarte 1:1 000 000,http://staremapy.georeferencer.cz/map/cv1gIAvzPGw0YvGkaBBFq3/201511051730-FttqmP/georeference,Univerzita Karlova v Praze
Wöchentliche Kriegsschauplatzkarte,http://staremapy.georeferencer.cz/map/RVNgowqAL4pq1zdjQhqpZv/201511051609-s8OY0p/georeference,Univerzita Karlova v Praze
Innsbruck,http://staremapy.georeferencer.cz/map/qr2pSdyrxSaUSFIu75fXJv/201511051622-XhrvD5/georeference,Univerzita Karlova v Praze
"Magna Britannia complectens Angliae, Scotiae et Hiberniae regna in suas provincias et comitatus divisa",http://staremapy.georeferencer.cz/map/raE9xBZ1gUnJNim1W0PgvT/201408181901-jIDk8M/georeference,Univerzita Karlova v Praze
Land zwischen den kleinen und grossen Kataracten des Nil,http://staremapy.georeferencer.cz/map/OEFQGAfu3WklrOYlKawFan/201408191213-KhkxP1/georeference,Univerzita Karlova v Praze
Skoczów,http://staremapy.georeferencer.cz/map/KtouvcF5TtzGa8embFY063/201601081342-SGCuyi/georeference,Univerzita Karlova v Praze
Stará Bystrica,http://staremapy.georeferencer.cz/map/Gyc3PedqvVhEXvIMkKxuGh/201511051652-1aIo7u/georeference,Univerzita Karlova v Praze
Leodiensis Episcopatus pars septentrionalis,http://staremapy.georeferencer.cz/map/KRQjS8UnEKnwjihbq6Cunv/201601081338-7lJ0dh/georeference,Univerzita Karlova v Praze
Plán okolí Kysibelu-Puchštýnu,http://staremapy.georeferencer.cz/map/AgUP9zfL4k0cHBBrIFJFqV/201511051742-MPQGMp/georeference,Univerzita Karlova v Praze
Kolberg,http://staremapy.georeferencer.cz/map/a3ANSXSqZUQpE5LBFMubUt/201511051554-BnOkYK/georeference,Univerzita Karlova v Praze
Collins' standard map of London,http://staremapy.georeferencer.cz/map/n8XiUV20G6EYZ6LjxkChLP/201511051640-Wkbst1/georeference,Univerzita Karlova v Praze
Flemmings Spezialkarte für den deutsch-französischen Krieg,http://staremapy.georeferencer.cz/map/PJypOX0sUCA1PGsOjk5vpL/201408191406-k6ljHw/georeference,Univerzita Karlova v Praze
Mapa pôd pozemkov štát. vyššej hospodárskej školy v Košiciach,http://staremapy.georeferencer.cz/map/c62wY6Ce51VEyXFFrlNO9w/201310172319-CRGoyp/georeference,Univerzita Karlova v Praze
Lublin,http://staremapy.georeferencer.cz/map/jOkq0JImCZtxq5KLlZpAdi/201511051554-4BdUcW/georeference,Univerzita Karlova v Praze
